,file_included
32,/home/ec2-user/media/records/records_previous/fold_2_1656217774.csv
33,/home/ec2-user/media/records/records_previous/fold_3_1656220780.csv
34,/home/ec2-user/media/records/records_previous/fold_2_1656220843.csv
35,/home/ec2-user/media/records/records_previous/fold_3_1656223799.csv
36,/home/ec2-user/media/records/records_previous/fold_2_1656223899.csv
37,/home/ec2-user/media/records/records_previous/fold_3_1656226809.csv
38,/home/ec2-user/media/records/records_previous/fold_2_1656227254.csv
39,/home/ec2-user/media/records/records_previous/fold_3_1656229910.csv
40,/home/ec2-user/media/records/records_previous/fold_2_1656230652.csv
41,/home/ec2-user/media/records/records_previous/fold_3_1656233126.csv
42,/home/ec2-user/media/records/records_previous/fold_2_1656233798.csv
43,/home/ec2-user/media/records/records_previous/fold_3_1656236355.csv
44,/home/ec2-user/media/records/records_previous/fold_2_1656236836.csv
45,/home/ec2-user/media/records/records_previous/fold_3_1656239183.csv
46,/home/ec2-user/media/records/records_previous/fold_2_1656239964.csv
47,/home/ec2-user/media/records/records_previous/fold_3_1656242620.csv
48,/home/ec2-user/media/records/records_previous/fold_2_1656242858.csv
49,/home/ec2-user/media/records/records_previous/fold_2_1656245887.csv
50,/home/ec2-user/media/records/records_previous/fold_3_1656246109.csv
51,/home/ec2-user/media/records/records_previous/fold_2_1656248820.csv
52,/home/ec2-user/media/records/records_previous/fold_3_1656249247.csv
53,/home/ec2-user/media/records/records_previous/fold_2_1656251872.csv
54,/home/ec2-user/media/records/records_previous/fold_3_1656252320.csv
55,/home/ec2-user/media/records/records_previous/fold_2_1656254734.csv
56,/home/ec2-user/media/records/records_previous/fold_3_1656255352.csv
57,/home/ec2-user/media/records/records_previous/fold_2_1656257713.csv
58,/home/ec2-user/media/records/records_previous/fold_3_1656258608.csv
59,/home/ec2-user/media/records/records_previous/fold_2_1656260550.csv
60,/home/ec2-user/media/records/records_previous/fold_3_1656261984.csv
61,/home/ec2-user/media/records/records_previous/fold_2_1656263408.csv
62,/home/ec2-user/media/records/records_previous/fold_3_1656264985.csv
63,/home/ec2-user/media/records/records_previous/fold_2_1656266243.csv
64,/home/ec2-user/media/records/records_previous/fold_3_1656268101.csv
65,/home/ec2-user/media/records/records_previous/fold_2_1656269086.csv
66,/home/ec2-user/media/records/records_previous/fold_3_1656271236.csv
67,/home/ec2-user/media/records/records_previous/fold_2_1656271856.csv
68,/home/ec2-user/media/records/records_previous/fold_3_1656274236.csv
69,/home/ec2-user/media/records/records_previous/fold_2_1656274750.csv
70,/home/ec2-user/media/records/records_previous/fold_3_1656277575.csv
71,/home/ec2-user/media/records/records_previous/fold_2_1656277634.csv
72,/home/ec2-user/media/records/records_previous/fold_2_1656280311.csv
73,/home/ec2-user/media/records/records_previous/fold_3_1656280924.csv
74,/home/ec2-user/media/records/records_previous/fold_2_1656283204.csv
75,/home/ec2-user/media/records/records_previous/fold_3_1656284241.csv
76,/home/ec2-user/media/records/records_previous/fold_2_1656286312.csv
77,/home/ec2-user/media/records/records_previous/fold_3_1656287486.csv
78,/home/ec2-user/media/records/records_previous/fold_2_1656289773.csv
79,/home/ec2-user/media/records/records_previous/fold_3_1656290701.csv
80,/home/ec2-user/media/records/records_previous/fold_2_1656295287.csv
81,/home/ec2-user/media/records/records_previous/fold_3_1656298032.csv
82,/home/ec2-user/media/records/records_previous/fold_2_1656302632.csv
83,/home/ec2-user/media/records/records_previous/fold_2_1656305680.csv
84,/home/ec2-user/media/records/records_previous/fold_3_1656307557.csv
85,/home/ec2-user/media/records/records_previous/fold_2_1656308804.csv
86,/home/ec2-user/media/records/records_previous/fold_3_1656310895.csv
87,/home/ec2-user/media/records/records_previous/fold_2_1656312027.csv
88,/home/ec2-user/media/records/records_previous/fold_3_1656314046.csv
89,/home/ec2-user/media/records/records_previous/fold_2_1656315518.csv
90,/home/ec2-user/media/records/records_previous/fold_3_1656317014.csv
91,/home/ec2-user/media/records/records_previous/fold_2_1656318802.csv
92,/home/ec2-user/media/records/records_previous/fold_3_1656320210.csv
93,/home/ec2-user/media/records/records_previous/fold_2_1656322205.csv
94,/home/ec2-user/media/records/records_previous/fold_3_1656323486.csv
95,/home/ec2-user/media/records/records_previous/fold_2_1656325423.csv
96,/home/ec2-user/media/records/records_previous/fold_3_1656326420.csv
97,/home/ec2-user/media/records/records_previous/fold_2_1656328453.csv
98,/home/ec2-user/media/records/records_previous/fold_3_1656329626.csv
99,/home/ec2-user/media/records/records_previous/fold_2_1656331545.csv
100,/home/ec2-user/media/records/records_previous/fold_3_1656332806.csv
101,/home/ec2-user/media/records/records_previous/fold_2_1656334705.csv
102,/home/ec2-user/media/records/records_previous/fold_3_1656335674.csv
103,/home/ec2-user/media/records/records_previous/fold_2_1656337819.csv
104,/home/ec2-user/media/records/records_previous/fold_3_1656339011.csv
105,/home/ec2-user/media/records/records_previous/fold_2_1656340661.csv
106,/home/ec2-user/media/records/records_previous/fold_3_1656342444.csv
107,/home/ec2-user/media/records/records_previous/fold_2_1656343545.csv
108,/home/ec2-user/media/records/records_previous/fold_3_1656345535.csv
109,/home/ec2-user/media/records/records_previous/fold_2_1656346443.csv
110,/home/ec2-user/media/records/records_previous/fold_3_1656348424.csv
111,/home/ec2-user/media/records/records_previous/fold_2_1656349281.csv
112,/home/ec2-user/media/records/records_previous/fold_3_1656351526.csv
113,/home/ec2-user/media/records/records_previous/fold_2_1656352207.csv
114,/home/ec2-user/media/records/records_previous/fold_3_1656354551.csv
115,/home/ec2-user/media/records/records_previous/fold_2_1656355032.csv
116,/home/ec2-user/media/records/records_previous/fold_3_1656357806.csv
117,/home/ec2-user/media/records/records_previous/fold_2_1656357919.csv
118,/home/ec2-user/media/records/records_previous/fold_3_1656360915.csv
119,/home/ec2-user/media/records/records_previous/fold_2_1656361259.csv
120,/home/ec2-user/media/records/records_previous/fold_3_1656363875.csv
121,/home/ec2-user/media/records/records_previous/fold_2_1656364677.csv
122,/home/ec2-user/media/records/records_previous/fold_3_1656366831.csv
123,/home/ec2-user/media/records/records_previous/fold_2_1656367733.csv
124,/home/ec2-user/media/records/records_previous/fold_3_1656369884.csv
125,/home/ec2-user/media/records/records_previous/fold_2_1656370958.csv
126,/home/ec2-user/media/records/records_previous/fold_3_1656373153.csv
127,/home/ec2-user/media/records/records_previous/fold_2_1656374442.csv
128,/home/ec2-user/media/records/records_previous/fold_3_1656376496.csv
129,/home/ec2-user/media/records/records_previous/fold_2_1656377706.csv
130,/home/ec2-user/media/records/records_previous/fold_3_1656379534.csv
131,/home/ec2-user/media/records/records_previous/fold_2_1656380774.csv
132,/home/ec2-user/media/records/records_previous/fold_3_1656382601.csv
133,/home/ec2-user/media/records/records_previous/fold_2_1656383718.csv
134,/home/ec2-user/media/records/records_previous/fold_3_1656385560.csv
135,/home/ec2-user/media/records/records_previous/fold_2_1656387088.csv
136,/home/ec2-user/media/records/records_previous/fold_3_1656388483.csv
137,/home/ec2-user/media/records/records_previous/fold_2_1656390391.csv
138,/home/ec2-user/media/records/records_previous/fold_3_1656391799.csv
139,/home/ec2-user/media/records/records_previous/fold_2_1656393906.csv
140,/home/ec2-user/media/records/records_previous/fold_3_1656395067.csv
141,/home/ec2-user/media/records/records_previous/fold_2_1656397147.csv
142,/home/ec2-user/media/records/records_previous/fold_3_1656398127.csv
143,/home/ec2-user/media/records/records_previous/fold_2_1656400283.csv
144,/home/ec2-user/media/records/records_previous/fold_3_1656401121.csv
145,/home/ec2-user/media/records/records_previous/fold_2_1656403642.csv
146,/home/ec2-user/media/records/records_previous/fold_3_1656404197.csv
147,/home/ec2-user/media/records/records_previous/fold_2_1656406650.csv
148,/home/ec2-user/media/records/records_previous/fold_3_1656407337.csv
149,/home/ec2-user/media/records/records_previous/fold_2_1656409599.csv
150,/home/ec2-user/media/records/records_previous/fold_3_1656410576.csv
151,/home/ec2-user/media/records/records_previous/fold_2_1656412672.csv
152,/home/ec2-user/media/records/records_previous/fold_3_1656413798.csv
153,/home/ec2-user/media/records/records_previous/fold_2_1656415677.csv
154,/home/ec2-user/media/records/records_previous/fold_3_1656416953.csv
155,/home/ec2-user/media/records/records_previous/fold_2_1656418509.csv
156,/home/ec2-user/media/records/records_previous/fold_3_1656420285.csv
157,/home/ec2-user/media/records/records_previous/fold_2_1656421514.csv
158,/home/ec2-user/media/records/records_previous/fold_3_1656423370.csv
159,/home/ec2-user/media/records/records_previous/fold_2_1656424109.csv
160,/home/ec2-user/media/records/records_previous/fold_3_1656426813.csv
161,/home/ec2-user/media/records/records_previous/fold_2_1656427223.csv
162,/home/ec2-user/media/records/records_previous/fold_2_1656430273.csv
163,/home/ec2-user/media/records/records_previous/fold_3_1656430337.csv
164,/home/ec2-user/media/records/records_previous/fold_3_1656433371.csv
165,/home/ec2-user/media/records/records_previous/fold_2_1656433381.csv
166,/home/ec2-user/media/records/records_previous/fold_3_1656436363.csv
167,/home/ec2-user/media/records/records_previous/fold_2_1656436867.csv
168,/home/ec2-user/media/records/records_previous/fold_3_1656439545.csv
169,/home/ec2-user/media/records/records_previous/fold_2_1656440232.csv
170,/home/ec2-user/media/records/records_previous/fold_3_1656442509.csv
171,/home/ec2-user/media/records/records_previous/fold_2_1656443521.csv
172,/home/ec2-user/media/records/records_previous/fold_3_1656445891.csv
173,/home/ec2-user/media/records/records_previous/fold_2_1656447069.csv
174,/home/ec2-user/media/records/records_previous/fold_3_1656449284.csv
175,/home/ec2-user/media/records/records_previous/fold_2_1656450400.csv
176,/home/ec2-user/media/records/records_previous/fold_3_1656452734.csv
177,/home/ec2-user/media/records/records_previous/fold_2_1656453434.csv
178,/home/ec2-user/media/records/records_previous/fold_3_1656455665.csv
179,/home/ec2-user/media/records/records_previous/fold_2_1656456789.csv
180,/home/ec2-user/media/records/records_previous/fold_3_1656458711.csv
181,/home/ec2-user/media/records/records_previous/fold_2_1656460296.csv
182,/home/ec2-user/media/records/records_previous/fold_3_1656461718.csv
183,/home/ec2-user/media/records/records_previous/fold_2_1656463569.csv
184,/home/ec2-user/media/records/records_previous/fold_3_1656464939.csv
185,/home/ec2-user/media/records/records_previous/fold_2_1656466557.csv
186,/home/ec2-user/media/records/records_previous/fold_3_1656467928.csv
187,/home/ec2-user/media/records/records_previous/fold_2_1656469708.csv
188,/home/ec2-user/media/records/records_previous/fold_3_1656471159.csv
189,/home/ec2-user/media/records/records_previous/fold_2_1656472748.csv
190,/home/ec2-user/media/records/records_previous/fold_3_1656474297.csv
191,/home/ec2-user/media/records/records_previous/fold_2_1656475868.csv
192,/home/ec2-user/media/records/records_previous/fold_3_1656477220.csv
193,/home/ec2-user/media/records/records_previous/fold_2_1656478790.csv
194,/home/ec2-user/media/records/records_previous/fold_3_1656480823.csv
195,/home/ec2-user/media/records/records_previous/fold_2_1656481826.csv
196,/home/ec2-user/media/records/records_previous/fold_3_1656483791.csv
197,/home/ec2-user/media/records/records_previous/fold_2_1656484883.csv
198,/home/ec2-user/media/records/records_previous/fold_3_1656487097.csv
199,/home/ec2-user/media/records/records_previous/fold_2_1656487835.csv
200,/home/ec2-user/media/records/records_previous/fold_3_1656490400.csv
201,/home/ec2-user/media/records/records_previous/fold_2_1656490719.csv
202,/home/ec2-user/media/records/records_previous/fold_3_1656493384.csv
203,/home/ec2-user/media/records/records_previous/fold_2_1656493704.csv
204,/home/ec2-user/media/records/records_previous/fold_3_1656496601.csv
205,/home/ec2-user/media/records/records_previous/fold_2_1656496775.csv
206,/home/ec2-user/media/records/records_previous/fold_2_1656499893.csv
207,/home/ec2-user/media/records/records_previous/fold_3_1656499988.csv
208,/home/ec2-user/media/records/records_previous/fold_3_1656503006.csv
209,/home/ec2-user/media/records/records_previous/fold_2_1656503251.csv
210,/home/ec2-user/media/records/records_previous/fold_3_1656505853.csv
211,/home/ec2-user/media/records/records_previous/fold_2_1656506394.csv
212,/home/ec2-user/media/records/records_previous/fold_2_1656509136.csv
213,/home/ec2-user/media/records/records_previous/fold_3_1656509241.csv
214,/home/ec2-user/media/records/records_previous/fold_2_1656512141.csv
215,/home/ec2-user/media/records/records_previous/fold_3_1656512236.csv
216,/home/ec2-user/media/records/records_previous/fold_2_1656515414.csv
217,/home/ec2-user/media/records/records_previous/fold_3_1656515803.csv
218,/home/ec2-user/media/records/records_previous/fold_2_1656518708.csv
219,/home/ec2-user/media/records/records_previous/fold_3_1656519032.csv
220,/home/ec2-user/media/records/records_previous/fold_2_1656522187.csv
221,/home/ec2-user/media/records/records_previous/fold_3_1656522248.csv
222,/home/ec2-user/media/records/records_previous/fold_3_1656525316.csv
223,/home/ec2-user/media/records/records_previous/fold_2_1656525845.csv
224,/home/ec2-user/media/records/records_previous/fold_3_1656528336.csv
225,/home/ec2-user/media/records/records_previous/fold_2_1656529263.csv
226,/home/ec2-user/media/records/records_previous/fold_3_1656531350.csv
227,/home/ec2-user/media/records/records_previous/fold_2_1656532801.csv
228,/home/ec2-user/media/records/records_previous/fold_3_1656534519.csv
229,/home/ec2-user/media/records/records_previous/fold_2_1656536184.csv
230,/home/ec2-user/media/records/records_previous/fold_3_1656537511.csv
231,/home/ec2-user/media/records/records_previous/fold_2_1656539523.csv
232,/home/ec2-user/media/records/records_previous/fold_3_1656540468.csv
233,/home/ec2-user/media/records/records_previous/fold_2_1656542728.csv
234,/home/ec2-user/media/records/records_previous/fold_3_1656543612.csv
235,/home/ec2-user/media/records/records_previous/fold_2_1656545850.csv
236,/home/ec2-user/media/records/records_previous/fold_3_1656546489.csv
237,/home/ec2-user/media/records/records_previous/fold_2_1656549254.csv
238,/home/ec2-user/media/records/records_previous/fold_3_1656549820.csv
239,/home/ec2-user/media/records/records_previous/fold_2_1656552314.csv
240,/home/ec2-user/media/records/records_previous/fold_3_1656553132.csv
241,/home/ec2-user/media/records/records_previous/fold_2_1656555613.csv
242,/home/ec2-user/media/records/records_previous/fold_3_1656556303.csv
243,/home/ec2-user/media/records/records_previous/fold_2_1656558529.csv
244,/home/ec2-user/media/records/records_previous/fold_3_1656559332.csv
245,/home/ec2-user/media/records/records_previous/fold_2_1656561609.csv
246,/home/ec2-user/media/records/records_previous/fold_3_1656562353.csv
247,/home/ec2-user/media/records/records_previous/fold_2_1656564620.csv
248,/home/ec2-user/media/records/records_previous/fold_3_1656565217.csv
249,/home/ec2-user/media/records/records_previous/fold_2_1656567761.csv
250,/home/ec2-user/media/records/records_previous/fold_3_1656568392.csv
251,/home/ec2-user/media/records/records_previous/fold_2_1656570911.csv
252,/home/ec2-user/media/records/records_previous/fold_3_1656571514.csv
253,/home/ec2-user/media/records/records_previous/fold_2_1656573881.csv
254,/home/ec2-user/media/records/records_previous/fold_3_1656574646.csv
255,/home/ec2-user/media/records/records_previous/fold_2_1656576619.csv
256,/home/ec2-user/media/records/records_previous/fold_3_1656577813.csv
257,/home/ec2-user/media/records/records_previous/fold_2_1656579518.csv
258,/home/ec2-user/media/records/records_previous/fold_3_1656580859.csv
259,/home/ec2-user/media/records/records_previous/fold_2_1656582147.csv
260,/home/ec2-user/media/records/records_previous/fold_3_1656584073.csv
261,/home/ec2-user/media/records/records_previous/fold_2_1656585005.csv
262,/home/ec2-user/media/records/records_previous/fold_3_1656587374.csv
263,/home/ec2-user/media/records/records_previous/fold_2_1656588015.csv
264,/home/ec2-user/media/records/records_previous/fold_3_1656590200.csv
265,/home/ec2-user/media/records/records_previous/fold_2_1656590763.csv
266,/home/ec2-user/media/records/records_previous/fold_3_1656593237.csv
267,/home/ec2-user/media/records/records_previous/fold_2_1656593706.csv
268,/home/ec2-user/media/records/records_previous/fold_3_1656596384.csv
269,/home/ec2-user/media/records/records_previous/fold_2_1656596601.csv
270,/home/ec2-user/media/records/records_previous/fold_2_1656599415.csv
271,/home/ec2-user/media/records/records_previous/fold_3_1656599553.csv
272,/home/ec2-user/media/records/records_previous/fold_2_1656602653.csv
273,/home/ec2-user/media/records/records_previous/fold_3_1656602765.csv
274,/home/ec2-user/media/records/records_previous/fold_2_1656605710.csv
275,/home/ec2-user/media/records/records_previous/fold_3_1656605996.csv
276,/home/ec2-user/media/records/records_previous/fold_2_1656608756.csv
277,/home/ec2-user/media/records/records_previous/fold_3_1656609006.csv
278,/home/ec2-user/media/records/records_previous/fold_2_1656611779.csv
279,/home/ec2-user/media/records/records_previous/fold_3_1656612077.csv
280,/home/ec2-user/media/records/records_previous/fold_3_1656615110.csv
281,/home/ec2-user/media/records/records_previous/fold_2_1656615126.csv
282,/home/ec2-user/media/records/records_previous/fold_2_1656618318.csv
283,/home/ec2-user/media/records/records_previous/fold_3_1656618320.csv
284,/home/ec2-user/media/records/records_previous/fold_3_1656621518.csv
285,/home/ec2-user/media/records/records_previous/fold_2_1656621679.csv
286,/home/ec2-user/media/records/records_previous/fold_3_1656624621.csv
287,/home/ec2-user/media/records/records_previous/fold_2_1656624903.csv
288,/home/ec2-user/media/records/records_previous/fold_3_1656627477.csv
289,/home/ec2-user/media/records/records_previous/fold_2_1656628278.csv
290,/home/ec2-user/media/records/records_previous/fold_3_1656630800.csv
291,/home/ec2-user/media/records/records_previous/fold_2_1656631291.csv
292,/home/ec2-user/media/records/records_previous/fold_3_1656633879.csv
293,/home/ec2-user/media/records/records_previous/fold_2_1656634194.csv
294,/home/ec2-user/media/records/records_previous/fold_3_1656637151.csv
295,/home/ec2-user/media/records/records_previous/fold_2_1656637216.csv
296,/home/ec2-user/media/records/records_previous/fold_2_1656640056.csv
297,/home/ec2-user/media/records/records_previous/fold_3_1656640614.csv
298,/home/ec2-user/media/records/records_previous/fold_2_1656643100.csv
299,/home/ec2-user/media/records/records_previous/fold_3_1656643616.csv
300,/home/ec2-user/media/records/records_previous/fold_2_1656646247.csv
301,/home/ec2-user/media/records/records_previous/fold_3_1656646661.csv
302,/home/ec2-user/media/records/records_previous/fold_3_1656649743.csv
303,/home/ec2-user/media/records/records_previous/fold_3_1656652760.csv
304,/home/ec2-user/media/records/records_previous/fold_3_1656655961.csv
305,/home/ec2-user/media/records/records_previous/fold_3_1656659139.csv
306,/home/ec2-user/media/records/records_previous/fold_3_1656662125.csv
307,/home/ec2-user/media/records/records_previous/fold_3_1656665064.csv
308,/home/ec2-user/media/records/records_previous/fold_3_1656668143.csv
309,/home/ec2-user/media/records/records_previous/fold_3_1656671452.csv
310,/home/ec2-user/media/records/records_previous/fold_3_1656674485.csv
311,/home/ec2-user/media/records/records_previous/fold_3_1656677373.csv
312,/home/ec2-user/media/records/records_previous/fold_3_1656680506.csv
313,/home/ec2-user/media/records/records_previous/fold_3_1656683727.csv
314,/home/ec2-user/media/records/records_previous/fold_3_1656686616.csv
315,/home/ec2-user/media/records/records_previous/fold_3_1656689783.csv
316,/home/ec2-user/media/records/records_previous/fold_3_1656693275.csv
317,/home/ec2-user/media/records/records_previous/fold_3_1656696199.csv
318,/home/ec2-user/media/records/records_previous/fold_3_1656699052.csv
319,/home/ec2-user/media/records/records_previous/fold_3_1656702014.csv
320,/home/ec2-user/media/records/records_previous/fold_3_1656705016.csv
321,/home/ec2-user/media/records/records_previous/fold_3_1656708235.csv
322,/home/ec2-user/media/records/records_previous/fold_3_1656711478.csv
323,/home/ec2-user/media/records/records_previous/fold_3_1656714677.csv
324,/home/ec2-user/media/records/records_previous/fold_3_1656718041.csv
325,/home/ec2-user/media/records/records_previous/fold_3_1656720914.csv
326,/home/ec2-user/media/records/records_previous/fold_3_1656723999.csv
327,/home/ec2-user/media/records/records_previous/fold_3_1656727213.csv
328,/home/ec2-user/media/records/records_previous/fold_3_1656730135.csv
329,/home/ec2-user/media/records/records_previous/fold_3_1656732979.csv
330,/home/ec2-user/media/records/records_previous/fold_3_1656736001.csv
331,/home/ec2-user/media/records/records_previous/fold_3_1656738996.csv
332,/home/ec2-user/media/records/records_previous/fold_3_1656742302.csv
333,/home/ec2-user/media/records/records_previous/fold_3_1656745611.csv
334,/home/ec2-user/media/records/records_previous/fold_3_1656748569.csv
335,/home/ec2-user/media/records/records_previous/fold_3_1656751477.csv
336,/home/ec2-user/media/records/records_previous/fold_3_1656754449.csv
337,/home/ec2-user/media/records/records_previous/fold_3_1656757510.csv
338,/home/ec2-user/media/records/records_previous/fold_3_1656760561.csv
339,/home/ec2-user/media/records/records_previous/fold_3_1656763592.csv
340,/home/ec2-user/media/records/records_previous/fold_3_1656766588.csv
341,/home/ec2-user/media/records/records_previous/fold_3_1656769667.csv
342,/home/ec2-user/media/records/records_previous/fold_3_1656772516.csv
343,/home/ec2-user/media/records/records_previous/fold_3_1656775741.csv
344,/home/ec2-user/media/records/records_previous/fold_3_1656779004.csv
345,/home/ec2-user/media/records/records_previous/fold_3_1656781830.csv
346,/home/ec2-user/media/records/records_previous/fold_3_1656784708.csv
347,/home/ec2-user/media/records/records_previous/fold_3_1656787768.csv
348,/home/ec2-user/media/records/records_previous/fold_3_1656790607.csv
349,/home/ec2-user/media/records/records_previous/fold_3_1656793836.csv
350,/home/ec2-user/media/records/records_previous/fold_3_1656797142.csv
351,/home/ec2-user/media/records/records_previous/fold_3_1656800039.csv
352,/home/ec2-user/media/records/records_previous/fold_3_1656802863.csv
353,/home/ec2-user/media/records/records_previous/fold_3_1656806055.csv
354,/home/ec2-user/media/records/records_previous/fold_3_1656809230.csv
355,/home/ec2-user/media/records/records_previous/fold_3_1656812435.csv
356,/home/ec2-user/media/records/records_previous/fold_3_1656815492.csv
357,/home/ec2-user/media/records/records_previous/fold_3_1656818501.csv
358,/home/ec2-user/media/records/records_previous/fold_3_1656821509.csv
359,/home/ec2-user/media/records/records_previous/fold_3_1656824388.csv
360,/home/ec2-user/media/records/records_previous/fold_3_1656827599.csv
361,/home/ec2-user/media/records/records_previous/fold_3_1656830919.csv
362,/home/ec2-user/media/records/records_previous/fold_3_1656833882.csv
363,/home/ec2-user/media/records/records_previous/fold_3_1656836763.csv
364,/home/ec2-user/media/records/records_previous/fold_3_1656839832.csv
365,/home/ec2-user/media/records/records_previous/fold_3_1656842984.csv
366,/home/ec2-user/media/records/records_previous/fold_3_1656846206.csv
367,/home/ec2-user/media/records/records_previous/fold_3_1656849304.csv
368,/home/ec2-user/media/records/records_previous/fold_3_1656852614.csv
369,/home/ec2-user/media/records/records_previous/fold_3_1656855868.csv
370,/home/ec2-user/media/records/records_previous/fold_3_1656858945.csv
371,/home/ec2-user/media/records/records_previous/fold_3_1656862116.csv
372,/home/ec2-user/media/records/records_previous/fold_3_1656865322.csv
373,/home/ec2-user/media/records/records_previous/fold_3_1656868471.csv
374,/home/ec2-user/media/records/records_previous/fold_3_1656871552.csv
375,/home/ec2-user/media/records/records_previous/fold_3_1656874538.csv
376,/home/ec2-user/media/records/records_previous/fold_3_1656877755.csv
377,/home/ec2-user/media/records/records_previous/fold_3_1656881134.csv
378,/home/ec2-user/media/records/records_previous/fold_3_1656884110.csv
379,/home/ec2-user/media/records/records_previous/fold_3_1656887030.csv
380,/home/ec2-user/media/records/records_previous/fold_3_1656890239.csv
381,/home/ec2-user/media/records/records_previous/fold_3_1656893407.csv
382,/home/ec2-user/media/records/records_previous/fold_3_1656896639.csv
383,/home/ec2-user/media/records/records_previous/fold_3_1656899965.csv
384,/home/ec2-user/media/records/records_previous/fold_3_1656903026.csv
385,/home/ec2-user/media/records/records_previous/fold_3_1656906105.csv
386,/home/ec2-user/media/records/records_previous/fold_3_1656909107.csv
387,/home/ec2-user/media/records/records_previous/fold_3_1656912313.csv
388,/home/ec2-user/media/records/records_previous/fold_3_1656915548.csv
389,/home/ec2-user/media/records/records_previous/fold_3_1656918631.csv
390,/home/ec2-user/media/records/records_previous/fold_3_1656921755.csv
391,/home/ec2-user/media/records/records_previous/fold_3_1656924951.csv
392,/home/ec2-user/media/records/records_previous/fold_3_1656927855.csv
393,/home/ec2-user/media/records/records_previous/fold_3_1656931030.csv
394,/home/ec2-user/media/records/records_previous/fold_3_1656934384.csv
395,/home/ec2-user/media/records/records_previous/fold_3_1656937300.csv
396,/home/ec2-user/media/records/records_previous/fold_3_1656940184.csv
397,/home/ec2-user/media/records/records_previous/fold_3_1656943538.csv
398,/home/ec2-user/media/records/records_previous/fold_3_1656946540.csv
399,/home/ec2-user/media/records/records_previous/fold_3_1656949697.csv
400,/home/ec2-user/media/records/records_previous/fold_3_1656952825.csv
401,/home/ec2-user/media/records/records_previous/fold_3_1656955870.csv
402,/home/ec2-user/media/records/records_previous/fold_3_1656959101.csv
403,/home/ec2-user/media/records/records_previous/fold_3_1656961995.csv
404,/home/ec2-user/media/records/records_previous/fold_3_1656965135.csv
405,/home/ec2-user/media/records/records_previous/fold_3_1656968409.csv
406,/home/ec2-user/media/records/records_previous/fold_3_1656971282.csv
407,/home/ec2-user/media/records/records_previous/fold_3_1656974414.csv
408,/home/ec2-user/media/records/records_previous/fold_3_1656977559.csv
409,/home/ec2-user/media/records/records_previous/fold_3_1656980458.csv
410,/home/ec2-user/media/records/records_previous/fold_3_1656983716.csv
411,/home/ec2-user/media/records/records_previous/fold_3_1656986972.csv
412,/home/ec2-user/media/records/records_previous/fold_3_1656989963.csv
413,/home/ec2-user/media/records/records_previous/fold_3_1656992935.csv
414,/home/ec2-user/media/records/records_previous/fold_3_1656995919.csv
415,/home/ec2-user/media/records/records_previous/fold_3_1656998992.csv
416,/home/ec2-user/media/records/records_previous/fold_3_1657002269.csv
417,/home/ec2-user/media/records/records_previous/fold_3_1657005315.csv
418,/home/ec2-user/media/records/records_previous/fold_3_1657008462.csv
419,/home/ec2-user/media/records/records_previous/fold_3_1657011555.csv
420,/home/ec2-user/media/records/records_previous/fold_3_1657014488.csv
421,/home/ec2-user/media/records/records_previous/fold_3_1657017891.csv
422,/home/ec2-user/media/records/records_previous/fold_3_1657021112.csv
423,/home/ec2-user/media/records/records_previous/fold_3_1657024153.csv
